country,region,tfr,contraceptors,pop
Botswana,Africa,4.8,35,1.3
Burundi,Africa,6.5,9,5.46
Cameroon,Africa,5.9,16,11.47
Ghana,Africa,6.1,13,15.13
Kenya,Africa,6.5,27,24.03
Liberia,Africa,6.4,6,2.46
Mali,Africa,6.8,5,8.16
Mauitius,Africa,2.2,75,1.03
Niger,Africa,7.3,4,7.73
Nigeria,Africa,5.7,6,87.03
Senegal,Africa,6.4,12,7.3
Sudan,Africa,4.8,9,25.75
Swaziland,Africa,5,21,0.77
Tanzania,Africa,6.1,10,24.57
Togo,Africa,6.1,12,3.51
Uganda,Africa,7.2,5,16.46
Zambia,Africa,6.3,15,8.07
Zimbabwe,Africa,5.3,45,9.37
Bangladesh,Asia,5.5,40,109.47
China,Asia,2.5,72,1155.3
India,Asia,4.3,45,835.13
Indonesia,Asia,3,50,179.48
Korea.Rep.of,Asia,1.7,77,42.87
Pakistan,Asia,5.2,12,112.4
Philippines,Asia,4.3,34,61.48
Sri.Lanka,Asia,2.7,62,17.02
Thailand,Asia,2.3,68,55.84
Vietnam,Asia,3.9,53,66.23
Belize,Latin.Amer,4.5,47,0.19
Bolivia,Latin.Amer,4.9,32,6.57
Brazil,Latin.Amer,3.6,66,144.72
Columbia,Latin.Amer,2.8,66,34.97
Costa.Rica,Latin.Amer,3.6,70,2.99
Dom.Republic,Latin.Amer,3.3,56,7.11
Ecuador,Latin.Amer,3.8,53,10.26
El.Salvador,Latin.Amer,4.6,47,5.03
Guatemala,Latin.Amer,5.6,23,8.75
Haiti,Latin.Amer,6,10,6.49
Jamaica,Latin.Amer,2.9,55,2.41
Mexico,Latin.Amer,4,55,83.23
Panama,Latin.Amer,4,58,2.4
Paraguay,Latin.Amer,4.6,48,4.22
Peru,Latin.Amer,3.5,59,21.57
Trinidad.Tobago,Latin.Amer,3.1,54,1.22
Egypt,Near.East,4.6,40,51.91
Jordan,Near.East,5.5,35,4.62
Morocco,Near.East,4,42,24.18
Tunisia,Near.East,4.3,51,8.15
Turkey,Near.East,3.4,60,56.1
Yemen,Near.East,7,7,11.28
